ラ,172,172,2769,ﾗｰ,ラ,r,a,ー,*,*
ラ,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
リ,115,115,3306,ﾃﾞｨ,デ,d,e,ィ,a,i
リ,128,128,1994,ﾆ,ニ,n,i,ニ,n,i
リ,174,174,2978,ﾘ,リ,r,i,リ,r,i
リ,176,176,2617,ﾘｲ,リ,r,i,イ,a,i
リャ,79,79,2596,ｼﾞｬ,ジ,z,i,ャ,y,a
リャ,175,175,2680,ﾘｬ,リ,r,i,ャ,y,a
リュ,80,80,1906,ｼﾞｭ,ジ,z,i,ュ,y,u
リョ,81,81,2121,ｼﾞｮ,ジ,z,i,ョ,y,o
リョ,131,131,1944,ﾆｮ,ニ,n,i,ョ,y,o
リー,174,174,2978,ﾘ,リ,r,i,リ,r,i
ル,38,38,2626,ｳ,ウ,a,u,ウ,a,u
ル,109,109,4218,ﾂﾞ,ヅ,d,u,ヅ,d,u
ル,177,177,2592,ﾙ,ル,r,u,ル,r,u
ルン,183,183,1949,ﾝ,ン,n,n,ン,n,n
レ,11,11,2674,レ,レ,r,e,レ,r,e
レ,114,114,2399,ﾃﾞ,デ,d,e,デ,d,e
レ,174,174,2978,ﾘ,リ,r,i,リ,r,i
レ,177,177,2592,ﾙ,ル,r,u,ル,r,u
レ,179,179,1879,ﾚ,レ,r,e,レ,r,e
レル,174,174,2978,ﾘ,リ,r,i,リ,r,i
ロ,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ロ,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
ヮ,12,12,1957,ヮ,ヮ,*,*,ヮ,*,*
ワ,21,21,3187,ｪ,ェ,a,e,ェ,a,e
ワ,182,182,2298,ﾜ,ワ,w,a,ワ,w,a
ヲ,16,16,411,ｦ,ヲ,w,o,ヲ,w,o
ヲ,27,27,2533,ｰ,ー,*,*,ー,*,*
ヲ,40,40,2516,ｳｫｰ,ウ,a,u,ー,*,*
ヲ,46,46,1833,ｵ,オ,a,o,オ,a,o
